# linux/386 atom 330
# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkIfaceCmpNil100                        767          770   +0.39%
BenchmarkDefer                                 457          319  -30.20%
BenchmarkDefer10                               421          291  -30.88%
BenchmarkDeferMany                             591          452  -23.52%
BenchmarkCompareStringEqual                     56           48  -14.26%
BenchmarkCompareStringIdentical                 33           25  -23.89%
BenchmarkCompareStringSameLength                49           40  -16.70%
BenchmarkCompareStringDifferentLength            6            6   +9.86%
BenchmarkCompareStringBigUnaligned          871121       888876   +2.04%
BenchmarkCompareStringBig                   832680       847746   +1.81%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                          400.89       942.76    2.35x
BenchmarkMemmove4K                         3014.72      3088.95    1.02x
BenchmarkMemmove64K                        1871.83      1875.65    1.00x
BenchmarkMemmove4M                          889.91       890.49    1.00x
BenchmarkMemmove64M                         882.89       888.91    1.01x
BenchmarkCompareStringBigUnaligned         1203.72      1179.68    0.98x
BenchmarkCompareStringBig                  1259.29      1236.91    0.98x
# http
benchmark                                   old ns/op    new ns/op    delta
BenchmarkHeaderWriteSubset                       6971         6025  -13.57%
BenchmarkReadRequestChrome                      52617        44256  -15.89%
BenchmarkReadRequestCurl                        25625        23667   -7.64%
BenchmarkReadRequestApachebench                 25474        23898   -6.19%
BenchmarkReadRequestSiege                       34459        29372  -14.76%
BenchmarkReadRequestWrk                         16698        15390   -7.83%
BenchmarkClientServer                          343082       297638  -13.25%
BenchmarkClientServerParallel4                 326492       295253   -9.57%
BenchmarkClientServerParallel64                329744       308902   -6.32%
BenchmarkServer                                464032       477365   +2.87%
BenchmarkServerFakeConnNoKeepAlive             103119        84624  -17.94%
BenchmarkServerFakeConnWithKeepAlive            85994        70156  -18.42%
BenchmarkServerFakeConnWithKeepAliveLite        53441        42550  -20.38%
BenchmarkServerHandlerTypeLen                   70905        58090  -18.07%
BenchmarkServerHandlerNoLen                     64143        52208  -18.61%
BenchmarkServerHandlerNoType                    66613        54827  -17.69%
BenchmarkServerHandlerNoHeader                  52506        41804  -20.38%

benchmark                                    old MB/s     new MB/s  speedup
BenchmarkReadRequestChrome                      11.61        13.81    1.19x
BenchmarkReadRequestCurl                         3.04         3.30    1.09x
BenchmarkReadRequestApachebench                  3.22         3.43    1.07x
BenchmarkReadRequestSiege                        4.38         5.14    1.17x
BenchmarkReadRequestWrk                          2.40         2.60    1.08x
# floats
benchmark                  old ns/op    new ns/op    delta
BenchmarkMinSmall                119          120   +0.84%
BenchmarkMinMed                 8306         8944   +7.68%
BenchmarkMinLarge             887707       905642   +2.02%
BenchmarkMinHuge            88799602     91046710   +2.53%
BenchmarkAddTwoSmall             204          204   +0.00%
BenchmarkAddFourSmall            507          507   +0.00%
BenchmarkAddTwoMed             13548        13291   -1.90%
BenchmarkAddFourMed            41373        41482   +0.26%
BenchmarkAddTwoLarge         1547090      1558626   +0.75%
BenchmarkAddFourLarge        4638859      4668036   +0.63%
BenchmarkAddTwoHuge        154598905    154515508   -0.05%
BenchmarkAddFourHuge       466312329    471976974   +1.21%
BenchmarkLogSumExpSmall         2320         2474   +6.64%
BenchmarkLogSumExpMed         202947       217347   +7.10%
BenchmarkLogSumExpLarge     20459138     21865749   +6.88%
BenchmarkLogSumExpHuge    2043563923   2147483647   +6.72%
BenchmarkDotSmall                170          162   -4.71%
BenchmarkDotMed                12667        12614   -0.42%
BenchmarkDotLarge            1419228      1421879   +0.19%
BenchmarkDotHuge           141765925    141799539   +0.02%
#megajson
benchmark               old ns/op    new ns/op    delta
BenchmarkCodeEncoder    151787535    118807279  -21.73%
BenchmarkCodeDecoder    524685534    365967180  -30.25%

benchmark                old MB/s     new MB/s  speedup
BenchmarkCodeEncoder        12.78        16.33    1.28x
BenchmarkCodeDecoder         3.70         5.30    1.43x
#snappy
benchmark                  old ns/op    new ns/op    delta
BenchmarkWordsDecode1e3        32722        32624   -0.30%
BenchmarkWordsDecode1e4       348440       361097   +3.63%
BenchmarkWordsDecode1e5      3580823      3754388   +4.85%
BenchmarkWordsDecode1e6     36004325     38813912   +7.80%
BenchmarkWordsEncode1e3        94929        92995   -2.04%
BenchmarkWordsEncode1e4       638323       611909   -4.14%
BenchmarkWordsEncode1e5      6420710      6164851   -3.98%
BenchmarkWordsEncode1e6     56570347     54368349   -3.89%

benchmark                   old MB/s     new MB/s  speedup
BenchmarkWordsDecode1e3        30.56        30.65    1.00x
BenchmarkWordsDecode1e4        28.70        27.69    0.96x
BenchmarkWordsDecode1e5        27.93        26.64    0.95x
BenchmarkWordsDecode1e6        27.77        25.76    0.93x
BenchmarkWordsEncode1e3        10.53        10.75    1.02x
BenchmarkWordsEncode1e4        15.67        16.34    1.04x
BenchmarkWordsEncode1e5        15.57        16.22    1.04x
BenchmarkWordsEncode1e6        17.68        18.39    1.04x
