#  Model Name:	MacBook Pro
#  Model Identifier:	MacBookPro10,1
#  Processor Name:	Intel Core i7
#  Processor Speed:	2.3 GHz
#  Number of Processors:	1
#  Total Number of Cores:	4
#  L2 Cache (per Core):	256 KB
#  L3 Cache:	6 MB
#  Memory:	8 GB
#  Boot ROM Version:	MBP101.00EE.B02
# go1
benchmark                          old ns/op      new ns/op      delta       
BenchmarkReadRequestChrome                   5833          5102          -12.53%     
BenchmarkReadRequestCurl                     3140          2929          -6.72%      
BenchmarkReadRequestApachebench              3127          2878          -7.96%      
BenchmarkReadRequestSiege                    4140          3753          -9.35%      
BenchmarkReadRequestWrk                      2267          2227          -1.76%      
BenchmarkClientServer                        84197         83962         -0.28%      
BenchmarkClientServerParallel4               60460         60430         -0.05%      
BenchmarkClientServerParallel64              57983         54999         -5.15%      
BenchmarkServer                              98733         93885         -4.91%      
BenchmarkServerFakeConnNoKeepAlive           12004         10993         -8.42%      
BenchmarkServerFakeConnWithKeepAlive         9964          8563          -14.06%     
BenchmarkServerFakeConnWithKeepAliveLite     5855          5919          +1.09%      
BenchmarkServerHandlerTypeLen                7533          7451          -1.09%      
BenchmarkServerHandlerNoLen                  6909          6666          -3.52%      
BenchmarkServerHandlerNoType                 7358          7185          -2.35%      
BenchmarkServerHandlerNoHeader               5303          5572          +5.07%      

benchmark                           old MB/s     new MB/s     speedup     
BenchmarkReadRequestChrome          104.75       119.74       1.14x       
BenchmarkReadRequestCurl            24.84        26.63        1.07x       
BenchmarkReadRequestApachebench     26.22        28.48        1.09x       
BenchmarkReadRequestSiege           36.47        40.23        1.10x       
BenchmarkReadRequestWrk             17.64        17.95        1.02x       
# floats
benchmark                   old ns/op     new ns/op     delta       
BenchmarkMinSmall           13.8          13.1          -5.07%      
BenchmarkMinMed             715           728           +1.82%      
BenchmarkMinLarge           66605         70130         +5.29%      
BenchmarkMinHuge            7349672       7821317       +6.42%      
BenchmarkAddTwoSmall        23.0          23.1          +0.43%      
BenchmarkAddFourSmall       50.1          46.2          -7.78%      
BenchmarkAddTwoMed          1006          1007          +0.10%      
BenchmarkAddFourMed         3000          3022          +0.73%      
BenchmarkAddTwoLarge        100308        103567        +3.25%      
BenchmarkAddFourLarge       302175        315905        +4.54%      
BenchmarkAddTwoHuge         13817614      14353108      +3.88%      
BenchmarkAddFourHuge        41778440      43640465      +4.46%      
BenchmarkLogSumExpSmall     266           264           -0.75%      
BenchmarkLogSumExpMed       19407         20018         +3.15%      
BenchmarkLogSumExpLarge     1946489       1992996       +2.39%      
BenchmarkLogSumExpHuge      195115244     200289403     +2.65%      
BenchmarkDotSmall           18.3          15.2          -16.94%     
BenchmarkDotMed             1012          1004          -0.79%      
BenchmarkDotLarge           99373         98699         -0.68%      
BenchmarkDotHuge            11785063      12288249      +4.27%      
# cipher
benchmark                  old ns/op     new ns/op     delta       
BenchmarkAESCFBEncrypt     7447          3868          -48.06%     
BenchmarkAESCFBDecrypt     7175          4133          -42.40%     
BenchmarkAESOFB            6297          2789          -55.71%     
BenchmarkAESCTR            6213          2443          -60.68%     
BenchmarkAESCBCEncrypt     5887          3141          -46.65%     
BenchmarkAESCBCDecrypt     8263          3081          -62.71%     

benchmark                  old MB/s     new MB/s     speedup     
BenchmarkAESCFBEncrypt     137.37       264.47       1.93x       
BenchmarkAESCFBDecrypt     142.56       247.51       1.74x       
BenchmarkAESOFB            162.44       366.76       2.26x       
BenchmarkAESCTR            164.63       418.59       2.54x       
BenchmarkAESCBCEncrypt     173.92       326.01       1.87x       
BenchmarkAESCBCDecrypt     123.92       332.34       2.68x       
#megajson
benchmark                old ns/op     new ns/op     delta      
BenchmarkCodeEncoder     14027794      13859588      -1.20%     
BenchmarkCodeDecoder     52683443      55414320      +5.18%     

benchmark                old MB/s     new MB/s     speedup     
BenchmarkCodeEncoder     138.33       140.01       1.01x       
BenchmarkCodeDecoder     36.83        35.02        0.95x       
#snappy
benchmark                   old ns/op     new ns/op     delta       
BenchmarkWordsDecode1e3     2530          2373          -6.21%      
BenchmarkWordsDecode1e4     36569         30905         -15.49%     
BenchmarkWordsDecode1e5     464277        435640        -6.17%      
BenchmarkWordsDecode1e6     4635700       4307499       -7.08%      
BenchmarkWordsEncode1e3     10288         9248          -10.11%     
BenchmarkWordsEncode1e4     69709         73508         +5.45%      
BenchmarkWordsEncode1e5     867912        841847        -3.00%      
BenchmarkWordsEncode1e6     8354481       8222168       -1.58%      

benchmark                   old MB/s     new MB/s     speedup     
BenchmarkWordsDecode1e3     395.20       421.27       1.07x       
BenchmarkWordsDecode1e4     273.45       323.57       1.18x       
BenchmarkWordsDecode1e5     215.39       229.55       1.07x       
BenchmarkWordsDecode1e6     215.72       232.15       1.08x       
BenchmarkWordsEncode1e3     97.19        108.13       1.11x       
BenchmarkWordsEncode1e4     143.45       136.04       0.95x       
BenchmarkWordsEncode1e5     115.22       118.79       1.03x       
BenchmarkWordsEncode1e6     119.70       121.62       1.02x
