cd /home/sdouche/src/autobench/work/go1.2rc3/test/bench/go1 && /home/sdouche/src/autobench/work/go1.1.2/bin/go test  -bench=. > /home/sdouche/src/autobench/work/go1-go1.1.2.txt
cd /home/sdouche/src/autobench/work/go1.2rc3/test/bench/go1 && /home/sdouche/src/autobench/work/go1.2rc3/bin/go test  -bench=. > /home/sdouche/src/autobench/work/go1-go1.2rc3.txt
# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkAssertE2E                               0            0   +0.00%
BenchmarkMalloc8                                36           29  -18.58%
BenchmarkMalloc16                               39           34  -12.02%
BenchmarkMallocTypeInfo8                        54           44  -19.49%
BenchmarkMallocTypeInfo16                       55           47  -14.90%
BenchmarkHashStringSpeed                        20           21   +4.93%
BenchmarkHashInt32Speed                         12           13   +5.51%
BenchmarkHashInt64Speed                         13           13   +6.15%
BenchmarkHashStringArraySpeed                   64           68   +5.26%
BenchmarkMegMap                                 14           18  +30.34%
BenchmarkMegOneMap                              20           12  -42.58%
BenchmarkMegEqMap                            56324        55729   -1.06%
BenchmarkMegEmptyMap                             2            3  +10.21%
BenchmarkSmallStrMap                            15           18  +16.67%
BenchmarkMapStringKeysEight_16                  16           21  +36.25%
BenchmarkMapStringKeysEight_32                  14           18  +23.81%
BenchmarkMapStringKeysEight_64                  14           18  +22.15%
BenchmarkMapStringKeysEight_1M                  14           18  +24.32%
BenchmarkIntMap                                 10           16  +46.79%
BenchmarkRepeatedLookupStrMapKey32              31           32   +3.55%
BenchmarkRepeatedLookupStrMapKey1M          270391       270896   +0.19%
BenchmarkNewEmptyMap                            98           98   +0.20%
BenchmarkMemmove32                              27            4  -83.56%
BenchmarkMemmove4K                             100           87  -12.70%
BenchmarkMemmove64K                           2191         2175   -0.73%
BenchmarkMemmove4M                          252785       254662   +0.74%
BenchmarkMemmove64M                        7541986      7719538   +2.35%
BenchmarkFinalizer                             126          128   +1.59%
BenchmarkFinalizerRun                          515          510   -0.97%
BenchmarkStackGrowth                           524          485   -7.44%
BenchmarkStackGrowthDeep                     74520        68756   -7.73%
BenchmarkCreateGoroutines                       98          101   +2.96%
BenchmarkCreateGoroutinesParallel               98          101   +2.85%
BenchmarkMatmult                                 7            6   -4.65%
BenchmarkIfaceCmp100                           186          180   -3.23%
BenchmarkIfaceCmpNil100                        142          136   -4.23%
BenchmarkDefer                                 106           65  -38.49%
BenchmarkDefer10                               101           59  -41.49%
BenchmarkDeferMany                             131           90  -31.15%
BenchmarkCompareStringEqual                      9            7  -13.51%
BenchmarkCompareStringIdentical                  3            3   -0.81%
BenchmarkCompareStringSameLength                 7            6   -9.34%
BenchmarkCompareStringDifferentLength            1            1   -2.52%
BenchmarkCompareStringBigUnaligned           59622        58415   -2.02%
BenchmarkCompareStringBig                    57558        55920   -2.85%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                         1183.11      7203.66    6.09x
BenchmarkMemmove4K                        40678.31     46915.19    1.15x
BenchmarkMemmove64K                       29907.91     30123.48    1.01x
BenchmarkMemmove4M                        16592.36     16470.07    0.99x
BenchmarkMemmove64M                        8898.04      8693.38    0.98x
BenchmarkCompareStringBigUnaligned        17586.95     17950.50    1.02x
BenchmarkCompareStringBig                 18217.63     18751.34    1.03x
/home/sdouche/src/autobench/work/go1.1.2/bin/go test  -test.run=XXX -test.bench=. bench/http > /home/sdouche/src/autobench/work/http-go1.1.2.txt
/home/sdouche/src/autobench/work/go1.2rc3/bin/go test  -test.run=XXX -test.bench=. bench/http > /home/sdouche/src/autobench/work/http-go1.2rc3.txt
# http
benchmark                                   old ns/op    new ns/op    delta
BenchmarkHeaderWriteSubset                       1151          805  -30.06%
BenchmarkReadRequestChrome                       5715         4640  -18.81%
BenchmarkReadRequestCurl                         2984         2561  -14.18%
BenchmarkReadRequestApachebench                  2965         2532  -14.60%
BenchmarkReadRequestSiege                        4005         3319  -17.13%
BenchmarkReadRequestWrk                          1987         1869   -5.94%
BenchmarkClientServer                           46405        43530   -6.20%
BenchmarkClientServerParallel4                  43250        39912   -7.72%
BenchmarkClientServerParallel64                 41913        36491  -12.94%
BenchmarkServer                                132062       108691  -17.70%
BenchmarkServerFakeConnNoKeepAlive              12620         9543  -24.38%
BenchmarkServerFakeConnWithKeepAlive            10394         7570  -27.17%
BenchmarkServerFakeConnWithKeepAliveLite         6835         4689  -31.40%
BenchmarkServerHandlerTypeLen                    8430         6229  -26.11%
BenchmarkServerHandlerNoLen                      7840         5624  -28.27%
BenchmarkServerHandlerNoType                     7997         5803  -27.44%
BenchmarkServerHandlerNoHeader                   6472         4350  -32.79%

benchmark                                    old MB/s     new MB/s  speedup
BenchmarkReadRequestChrome                     106.90       131.66    1.23x
BenchmarkReadRequestCurl                        26.13        30.45    1.17x
BenchmarkReadRequestApachebench                 27.65        32.37    1.17x
BenchmarkReadRequestSiege                       37.70        45.48    1.21x
BenchmarkReadRequestWrk                         20.13        21.40    1.06x
/home/sdouche/src/autobench/work/go1.1.2/bin/go test  -test.run=XXX -test.bench=. bench/floats > /home/sdouche/src/autobench/work/floats-go1.1.2.txt
/home/sdouche/src/autobench/work/go1.2rc3/bin/go test  -test.run=XXX -test.bench=. bench/floats > /home/sdouche/src/autobench/work/floats-go1.2rc3.txt
# floats
benchmark                  old ns/op    new ns/op    delta
BenchmarkMinSmall                 10           11   +3.74%
BenchmarkMinMed                  568          562   -1.06%
BenchmarkMinLarge              52417        52375   -0.08%
BenchmarkMinHuge             6240056      6222715   -0.28%
BenchmarkAddTwoSmall              17           18   +6.90%
BenchmarkAddFourSmall             34           39  +14.33%
BenchmarkAddTwoMed               790          796   +0.76%
BenchmarkAddFourMed             2368         2376   +0.34%
BenchmarkAddTwoLarge           79389        80219   +1.05%
BenchmarkAddFourLarge         239789       237870   -0.80%
BenchmarkAddTwoHuge         12804761     12815463   +0.08%
BenchmarkAddFourHuge        38766385     38885991   +0.31%
BenchmarkLogSumExpSmall          208          206   -0.96%
BenchmarkLogSumExpMed          15389        15434   +0.29%
BenchmarkLogSumExpLarge      1536528      1537007   +0.03%
BenchmarkLogSumExpHuge     156347726    154788139   -1.00%
BenchmarkDotSmall                 11           15  +27.73%
BenchmarkDotMed                  784          799   +1.91%
BenchmarkDotLarge              77797        78079   +0.36%
BenchmarkDotHuge            10282557     10329255   +0.45%
