# Udoo iMX.6 Quad @ 1 Ghz
# Ubuntu 13.10
# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkMemmove64M                         219.22       221.20    1.01x
BenchmarkCompareStringBigUnaligned          117.77       115.63    0.98x
BenchmarkCompareStringBig                   140.98       138.52    0.98x
# http
benchmark                                   old ns/op    new ns/op    delta
BenchmarkHeaderWriteSubset                       9440         8620   -8.69%
BenchmarkReadRequestChrome                      90515        69401  -23.33%
BenchmarkReadRequestCurl                        43567        37194  -14.63%
BenchmarkReadRequestApachebench                 43587        37005  -15.10%
BenchmarkReadRequestSiege                       58853        48180  -18.14%
BenchmarkReadRequestWrk                         26606        25315   -4.85%
BenchmarkClientServer                          469824       433537   -7.72%
BenchmarkClientServerParallel4                 478298       441263   -7.74%
BenchmarkClientServerParallel64                547051       505882   -7.53%
BenchmarkServer                               1090932      1072249   -1.71%
BenchmarkServerFakeConnNoKeepAlive             186195       152252  -18.23%
BenchmarkServerFakeConnWithKeepAlive           158445       124697  -21.30%
BenchmarkServerFakeConnWithKeepAliveLite        93977        72105  -23.27%
BenchmarkServerHandlerTypeLen                  126565       105061  -16.99%
BenchmarkServerHandlerNoLen                    113647        91444  -19.54%
BenchmarkServerHandlerNoType                   119176        97391  -18.28%
BenchmarkServerHandlerNoHeader                  92561        70484  -23.85%

benchmark                                    old MB/s     new MB/s  speedup
BenchmarkReadRequestChrome                       6.75         8.80    1.30x
BenchmarkReadRequestCurl                         1.79         2.10    1.17x
BenchmarkReadRequestApachebench                  1.88         2.22    1.18x
BenchmarkReadRequestSiege                        2.57         3.13    1.22x
BenchmarkReadRequestWrk                          1.50         1.58    1.05x
# floats
benchmark                  old ns/op    new ns/op    delta
BenchmarkMinSmall                111          109   -1.80%
BenchmarkMinMed                 6743         6302   -6.54%
BenchmarkMinLarge            1566093      1565319   -0.05%
BenchmarkMinHuge           246114166    242776833   -1.36%
BenchmarkAddTwoSmall             209          208   -0.48%
BenchmarkAddFourSmall            510          500   -1.96%
BenchmarkAddTwoMed             10160        10152   -0.08%
BenchmarkAddFourMed            30753        43442  +41.26%
BenchmarkAddTwoLarge         3495661      3319330   -5.04%
BenchmarkAddFourLarge       11306470     10781860   -4.64%
BenchmarkAddTwoHuge        322262333    316614466   -1.75%
BenchmarkAddFourHuge       966169533    977060001   +1.13%
BenchmarkLogSumExpSmall         4798         4885   +1.81%
BenchmarkLogSumExpMed         461138       463608   +0.54%
BenchmarkLogSumExpLarge     50614280     55108340   +8.88%
BenchmarkLogSumExpHuge    2147483647   2147483647   +0.46%
BenchmarkDotSmall                204          192   -5.88%
BenchmarkDotMed                14335        13167   -8.15%
BenchmarkDotLarge            3533065      3264393   -7.60%
BenchmarkDotHuge           333207733    325521400   -2.31%
